iter	Passed	Remaining
0	0	93
1	1	80
2	2	78
3	3	74
4	3	74
5	4	73
6	5	73
7	6	73
8	7	75
9	8	74
10	9	73
11	9	73
12	10	72
13	11	71
14	12	69
15	13	68
16	13	66
17	14	65
18	15	64
19	15	63
20	16	61
21	17	60
22	18	60
23	20	65
24	21	65
25	22	64
26	23	63
27	24	63
28	25	62
29	26	61
30	27	60
31	27	59
32	28	58
33	29	57
34	30	56
35	31	55
36	32	54
37	33	54
38	34	53
39	35	52
40	36	51
41	36	50
42	37	49
43	38	48
44	39	47
45	40	47
46	40	46
47	41	45
48	42	44
49	43	43
50	44	42
51	44	41
52	45	40
53	46	39
54	46	38
55	47	37
56	48	36
57	49	35
58	50	35
59	51	34
60	52	33
61	53	32
62	54	31
63	55	30
64	55	30
65	56	29
66	57	28
67	58	27
68	59	26
69	60	25
70	60	24
71	61	24
72	62	23
73	63	22
74	64	21
75	65	20
76	66	19
77	67	18
78	67	18
79	68	17
80	69	16
81	70	15
82	71	14
83	71	13
84	72	12
85	73	11
86	73	11
87	74	10
88	75	9
89	76	8
90	76	7
91	77	6
92	78	5
93	79	5
94	80	4
95	80	3
96	81	2
97	82	1
98	83	0
99	84	0
